year,track_id,track_name,artist_name,album_name,plays,total_minutes,skip_rate,shuffle_rate,has_features
2021,1Dp7JGFNjvg8Nk0CtMCcnr,Hard Feelings/Loveless,Lorde,Melodrama,51,109.29,0.3725,0.0,True
2021,6KKHXbJtnJPjla3V49YPac,"Prune, You Talk Funny",Gus Dapperton,"Prune, You Talk Funny",51,81.22,0.4902,0.0,True
2021,6ioeN8jQ8Qc3tS8dhpoAVi,Way With Words,Bahamas,Earthtones,51,73.11,0.549,0.0,True
2021,3zobfMEipF81bJfPVp1h09,Stay in My Corner,The Arcs,"Yours, Dreamily,",50,102.5,0.3,0.02,True
2021,7w6QlKAOcNEnqRgrnJvQtr,Stuck on the puzzle,Alex Turner,Submarine - Original Songs From The Film By Alex Turner,50,111.94,0.4,0.0,True
2021,08VEQesIyvMu4xIxec8lMT,"Moodna, Once With Grace",Gus Dapperton,"Moodna, Once With Grace",48,72.06,0.4583,0.0,True
2021,0khHA65uKHItjWKdxWeXFs,In the City,Anika,Anika,48,96.37,0.1042,0.0,True
2021,6lbLn5iL2NBJnbib7bTXMn,Dræm Girl,No Vacation,Summer Break Mixtape,48,148.77,0.2292,0.0,True
2021,5HLes17mwCwKt81mi0Tk35,"Archie, Marry Me",Alvvays,Alvvays,47,106.74,0.2766,0.0,True
2021,5Wyy2JHaM8cKEN6YDC6C8O,Pressure To Party,Julia Jacklin,Crushing,47,94.67,0.2979,0.0,True
2021,6gpSU2C1VJq0xaVIGtQPVi,Francis Forever,Mitski,Bury Me At Makeout Creek,47,51.94,0.4468,0.0,True
2021,1dJuteDIOkGfDSN7zPkzNv,She Don't Use Jelly,The Flaming Lips,Transmissions From the Satellite Heart,46,58.12,0.5652,0.0,True
2021,5AKYyNPYhumqKeOMhdEgQO,I Saw You Close Your Eyes,Local Natives,I Saw You Close Your Eyes,46,73.31,0.4348,0.0,True
2021,2AKwcNHeGAqCpD6etK425X,One Point Perspective,Arctic Monkeys,Tranquility Base Hotel & Casino,45,128.8,0.2667,0.0,True
2021,2EEinN4Zk8MUv4OQuLsTBj,Age of Consent - 2015 Remaster,New Order,Power Corruption and Lies,45,104.13,0.4444,0.0,True
2021,47KDDZgFiX1w6RFOuLXsSn,Tomorrow,Shakey Graves,Tomorrow,45,71.6,0.5111,0.0,True
2021,1zdKc6UvnPuoVHkr0NYyIf,Glass in the park,Alex Turner,Submarine - Original Songs From The Film By Alex Turner,44,113.78,0.3182,0.0,True
2021,2fXKyAyPrEa24c6PJyqznF,Common People - Full Length Version,Pulp,Different Class,44,75.42,0.5682,0.0,True
2021,3pJfnBjO3kjudEchcPEDxS,Afuera,Caifanes,El Nervio Del Volcan,44,83.77,0.4773,0.0,True
