track_id,track_name,artist_name,album_name,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,tempo,key,mode,loudness,time_signature,total_plays,total_minutes,avg_skip_rate,years_active
5RcuACCOhgoc4ZH57AVCLA,Feel Like A Fool,Kali Uchis,Isolation,Pop,58,0.0245,0.7,0.812,0.0,0.102,0.0311,0.855,107.983,D#,Major,-4.8,4/4,40,68.9,0.375,[2019]
5xRlNALFbZ7gaWGlySwfTM,Break up Together,Theo Katzman,Heartbreak Hits,Soul,49,0.564,0.87,0.414,3.47e-05,0.121,0.0452,0.89,103.958,F,Major,-10.995,4/4,40,57.8,0.575,[2020]
53I7CviVHhNYEKth717RLG,Coins,Local Natives,Sunlit Youth,Pop,62,0.0578,0.566,0.576,0.0,0.0523,0.0365,0.607,138.045,F,Major,-4.859,4/4,39,134.9,0.103,[2018]
4D2rEIyYw0meeh8AOXqfxK,Honey Sweet,Blossoms,Blossoms,Indie,62,0.0268,0.573,0.708,0.00485,0.271,0.037,0.626,110.003,E,Minor,-6.098,4/4,39,49.8,0.564,[2021]
1tzPSule9WZ9B8SujHv8fp,This Head I Hold,Electric Guest,Mondo,Dance,59,0.0255,0.596,0.871,0.0101,0.249,0.0375,0.961,80.939,D,Minor,-4.912,4/4,39,45.7,0.538,[2019]
1KlDcHrlDPUJJPmMup3tUp,5 Years Time,Noah And The Whale,"Peaceful, The World Lays Me Down",Folk,56,0.335,0.8,0.559,0.0,0.148,0.116,0.788,121.967,C,Major,-7.11,4/4,39,63.9,0.513,[2021]
3HMYsT5mnqQ57tVjvqlETb,Flaco,Mon Laferte,La Trenza,Children’s Music,58,0.196,0.454,0.419,0.0039,0.197,0.0255,0.238,146.711,A,Major,-5.678,3/4,39,119.5,0.128,[2022]
3dJCbcLcqMKJVZ9Vd390K3,Far Away Truths,Albert Hammond Jr,Francis Trouble,Dance,56,0.000829,0.419,0.866,0.0003,0.104,0.0463,0.764,162.061,A,Major,-3.944,4/4,39,126.5,0.103,[2018]
150eNdHgoV9hYBUjsQXSVM,Love Buzz - Remastered,Nirvana,Bleach: Deluxe Edition,Rock,63,3.22e-05,0.47,0.885,0.196,0.169,0.0354,0.79,138.153,D#,Major,-7.224,4/4,39,37.9,0.564,[2020]
6cUcoLNlWP05KpaJXaXG7g,Sex Tourists,French Kicks,Swimming,Indie,45,0.281,0.489,0.519,7.25e-06,0.121,0.0266,0.163,108.259,F#,Major,-6.099,4/4,39,53.9,0.564,[2021]
0NfdbvWFwlVMA183QibxCB,Me Vale,Maná,¿Dónde Jugarán Los Niños?,Pop,59,0.00201,0.534,0.925,0.000692,0.134,0.035,0.753,166.9,A,Major,-5.198,4/4,39,146.9,0.371,"[2023, 2025]"
5t1Eqjxu93ub0LiTgxZQOB,Flathead,The Fratellis,Costello Music,Alternative,41,0.0118,0.599,0.942,0.0,0.327,0.155,0.334,105.144,C,Major,-5.196,4/4,38,41.7,0.599,"[2022, 2024]"
